id,titulo,preco,condominio,metragem,url,area_locavel,iptu,valor_total_mensal,pe_direito,endereco_completo
24,CL Guarulhos 2 - Galpão para Alugar,34.0,5.0,"19.787,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-19787m2-para-locacao-guarulhos/692415,19787.0,1.93,672759.38,,"Rua da Lagoa, 511 - Guarulhos"
25,CL Guarulhos 2 - Galpão para Alugar,34.01,5.0,"2.198,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-2198m2-para-locacao-guarulhos/692416,2198.0,1.93,74751.04,,"Rua da Lagoa, 511 - Guarulhos"
26,CLI - Centro Logístico Itapevi - Galpão para Alugar,30.0,5.86,"5.690,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-5690m2-para-locacao-itapevi/692430,5690.0,0.33,170707.2,,"Rodovia Coronel PM Nelson Tranchesi, 1730 - Itapevi"
27,CLI - Centro Logístico Itapevi - Galpão para Alugar,30.0,5.86,"3.322,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-3322m2-para-locacao-itapevi/692431,3322.0,0.33,99673.5,,"Rodovia Coronel PM Nelson Tranchesi, 1730 - Itapevi"
28,Nm KSM LOG Guarulhos I - Galpão para Alugar,35.0,3.0,"3.049,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-3049m2-para-locacao-guarulhos/692497,3049.0,1.0,106715.0,,"Avenida Paschoal Thomeu, 2545 - Guarulhos"
29,Nm KSM LOG Guarulhos I - Galpão para Alugar,35.0,3.0,"8.314,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-8314m2-para-locacao-guarulhos/692498,8314.0,1.0,290999.81,,"Avenida Paschoal Thomeu, 2545 - Guarulhos"
30,Nm KSM LOG Guarulhos I - Galpão para Alugar,35.0,3.0,"12.471,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-12471m2-para-locacao-guarulhos/692499,12471.0,1.0,436499.69,,"Avenida Paschoal Thomeu, 2545 - Guarulhos"
31,Nm KSM LOG Guarulhos I - Galpão para Alugar,35.0,3.0,"16.628,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-16628m2-para-locacao-guarulhos/692500,16628.0,1.0,581999.62,,"Avenida Paschoal Thomeu, 2545 - Guarulhos"
32,Nm KSM LOG Guarulhos I - Galpão para Alugar,35.0,3.0,"20.785,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-20785m2-para-locacao-guarulhos/692501,20785.0,1.0,727499.5,,"Avenida Paschoal Thomeu, 2545 - Guarulhos"
33,Nm KSM LOG Guarulhos I - Galpão para Alugar,35.0,3.0,"24.942,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-24942m2-para-locacao-guarulhos/692502,24942.0,1.0,872999.38,,"Avenida Paschoal Thomeu, 2545 - Guarulhos"
34,Nm KSM LOG Guarulhos I - Galpão para Alugar,35.0,3.0,"30.000,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-30000m2-para-locacao-guarulhos/692503,30000.0,1.0,1050000.0,,"Avenida Paschoal Thomeu, 2545 - Guarulhos"
35,Nm KSM LOG Guarulhos I - Galpão para Alugar,35.0,3.0,"62.854,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-62854m2-para-locacao-guarulhos/692504,62854.0,1.0,2199890.0,,"Avenida Paschoal Thomeu, 2545 - Guarulhos"
36,GS Espaço Empresarial Park Vila Anastácio - Galpão para Alugar,47.0,6.0,"1.476,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-1476m2-para-locacao-sao-paulo/692727,1476.0,3.0,69372.0,,"Rua João Tibiriçá, 958 - São Paulo"
37,GS Espaço Empresarial Park Vila Anastácio - Galpão para Alugar,47.0,6.0,"2.952,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-2952m2-para-locacao-sao-paulo/692728,2952.0,3.0,138744.0,,"Rua João Tibiriçá, 958 - São Paulo"
38,GS Espaço Empresarial Park Vila Anastácio - Galpão para Alugar,47.0,6.0,"1.856,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-1856m2-para-locacao-sao-paulo/692729,1856.0,3.0,87232.0,,"Rua João Tibiriçá, 958 - São Paulo"
39,GLP Bandeirantes I - Galpão para Alugar,32.0,3.15,"9.524,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-9524m2-para-locacao-franco-da-rocha/692661,9524.0,0.75,304790.72,,"Rodovia Edgar Máximo Zamboto, 42 - Franco da Rocha"
40,GLP Bandeirantes I - Galpão para Alugar,32.0,3.15,"20.105,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-20105m2-para-locacao-franco-da-rocha/692662,20105.0,0.75,643381.75,,"Rodovia Edgar Máximo Zamboto, 42 - Franco da Rocha"
41,GLP Bandeirantes I - Galpão para Alugar,32.0,3.15,"30.158,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-30158m2-para-locacao-franco-da-rocha/692663,30158.0,0.75,965072.62,,"Rodovia Edgar Máximo Zamboto, 42 - Franco da Rocha"
42,GLP Bandeirantes I - Galpão para Alugar,32.0,3.15,"39.683,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-39683m2-para-locacao-franco-da-rocha/692664,39683.0,0.75,1269863.38,,"Rodovia Edgar Máximo Zamboto, 42 - Franco da Rocha"
